,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,neglog10pvalue,,
EBG00005230038,65.90303656,1.792685805,0.727343605,2.464702782,0.013712695,0.729761595,1.862877196,,
EBG00005230040,7.55103846,0.177338234,0.372174671,0.476491948,0.633723943,0.982569556,0.198099884,,
EBG00005230042,22.70368037,1.246808144,0.756304273,1.648553615,0.099239118,0.863533116,1.003317103,1.003317104,0.063721003
EBG00005230044,0.269679945,0.034237577,0.343999078,0.099528106,0.920718974,0.995550825,0.035872907,,
EBG00005230046,41.36216156,-0.384996398,0.636010108,-0.605330628,0.544959335,0.97365412,0.263635904,,
EBG00005230048,30.42326879,0.727749627,0.69590771,1.045755948,0.295673724,0.949652485,0.529187268,,
EBG00005230050,60.15548273,1.970145951,0.74747928,2.635719816,0.008395903,0.729761595,2.07593261,,
EBG00005230052,74.65077977,1.834007752,0.725673074,2.527319557,0.011493687,0.729761595,1.939540636,,
EBG00005230054,0,NA,NA,NA,NA,NA,#VALUE!,,
EBG00005230056,68.06047612,1.823185366,0.72872892,2.501870472,0.012353911,0.729761595,1.908195518,,
EBG00005230058,49.25029995,1.897860367,0.751173359,2.52652779,0.011519627,0.729761595,1.938561567,,
EBG00005230060,33.8111231,-0.975349368,0.692812888,-1.407810657,0.159187144,0.899400879,0.79809201,,
EBG00005230062,3.859794213,-0.446234622,0.743718787,-0.600004504,0.548503234,0.97365412,0.260820808,,
EBG00005230064,0.53935989,0.092373179,0.346936927,0.266253524,0.790043964,0.991741203,0.102348741,,
EBG00005230066,6.017233772,0.097725529,0.788907903,0.123874446,0.901414686,0.995550825,0.04507537,,
EBG00005230068,4.399154103,-0.288318978,0.764238397,-0.37726314,0.705978061,0.982569556,0.151208795,,
THAPSDRAFT_1000,48.45811511,-0.259142103,0.614380119,-0.421794415,0.673175083,0.982569556,0.171871968,,
THAPSDRAFT_10002,250.077584,-0.217663876,0.585364927,-0.371843043,0.710009714,0.982569556,0.14873571,,
THAPSDRAFT_10006,250.9203338,-0.458362082,0.59919463,-0.764963602,0.444293219,0.97365412,0.352330315,,
THAPSDRAFT_10008,26.69831455,-0.242415198,0.684520199,-0.354138853,0.723234826,0.982569556,0.140720669,,
THAPSDRAFT_10010,82.8254531,0.805443839,0.610084565,1.320216713,0.186762673,0.906986467,0.728709918,,
THAPSDRAFT_10012,71.22921547,-0.482377145,0.587606836,-0.820918198,0.411692865,0.969441629,0.38542666,,
THAPSDRAFT_10013,83.68505793,-0.320538778,0.566112649,-0.566210238,0.571250871,0.974668053,0.243173125,,
THAPSDRAFT_10016,67.30200127,-0.718481445,0.610061458,-1.177719779,0.238908339,0.942935048,0.621768691,,
THAPSDRAFT_10017,15.23691689,0.050794923,0.749639167,0.067759163,0.945977352,0.995550825,0.024119261,,
THAPSDRAFT_10018,4.702544041,0.648944888,0.758765553,0.855264034,0.392404994,0.969441629,0.406265475,,
THAPSDRAFT_10023,7.399343491,1.057109507,0.785579214,1.345643428,0.178417539,0.899400879,0.748562456,,
THAPSDRAFT_10024,280.0963329,-0.235716005,0.603971238,-0.390276871,0.696331824,0.982569556,0.157183756,,
THAPSDRAFT_10025,200.3216341,0.023958594,0.553457417,0.043288957,0.965471194,0.995550825,0.015260679,,
THAPSDRAFT_10027,84.39296778,0.244403997,0.565279939,0.432359226,0.665480348,0.982569556,0.176864765,,
THAPSDRAFT_10034,15.11893192,0.268985977,0.753508804,0.356977882,0.721108364,0.982569556,0.141999467,,
THAPSDRAFT_10035,25.93983971,1.396979022,0.755413627,1.849290206,0.064415919,0.789848714,1.191006791,,
THAPSDRAFT_10037,189.5007263,0.223599727,0.55395305,0.403643823,0.686474655,0.982569556,0.163375492,,
THAPSDRAFT_10039,10.02872295,0.125099356,0.784475389,0.159468809,0.873299531,0.995550825,0.058836773,,
THAPSDRAFT_10041,65.53222663,0.229151803,0.586206886,0.390906024,0.695866701,0.982569556,0.157473945,,
THAPSDRAFT_10042,8.52862826,-0.483712404,0.791543796,-0.611099988,0.541133388,0.97365412,0.266695669,,
THAPSDRAFT_10045,34.90669788,0.21951178,0.655045063,0.335109434,0.737542537,0.987162755,0.132212927,,
THAPSDRAFT_10046,142.9135158,-0.386959131,0.549834105,-0.703774335,0.481573319,0.97365412,0.317337582,,
THAPSDRAFT_10047,44.21065598,-0.113252569,0.622395663,-0.181962336,0.855612284,0.995091298,0.067722989,,
THAPSDRAFT_10048,10.33211289,0.76251047,0.789878942,0.965351055,0.334369008,0.962512736,0.475773983,,
THAPSDRAFT_1005,11.19171772,-0.576569422,0.780065763,-0.73912925,0.459828517,0.97365412,0.337404099,,
THAPSDRAFT_10050,44.24436597,0.084503038,0.623513067,0.135527293,0.892194987,0.995550825,0.049540221,,
THAPSDRAFT_10052,92.46651114,0.78491334,0.601403054,1.305136937,0.191846223,0.91195091,0.717046746,,
THAPSDRAFT_10053,307.3845723,-0.300712127,0.622013674,-0.483449382,0.628776692,0.982569556,0.201503565,,
THAPSDRAFT_10055,59.3127329,0.523679358,0.612150067,0.855475456,0.392287986,0.969441629,0.406394992,,
THAPSDRAFT_10057,457.5963017,-0.463888155,0.687803364,-0.674448803,0.500026025,0.97365412,0.301007392,,
THAPSDRAFT_10058,31.46827858,0.519844716,0.680078713,0.764389042,0.444635437,0.97365412,0.351995928,,
THAPSDRAFT_10059,76.62281437,0.669087429,0.60236661,1.110764472,0.266669743,0.942935048,0.574026258,,
THAPSDRAFT_10062,21.16987568,0.617320352,0.729047828,0.84674877,0.397135169,0.969441629,0.401061652,,
THAPSDRAFT_10063,17.51234143,0.093612019,0.734960229,0.127370183,0.898647415,0.995550825,0.046410671,,
THAPSDRAFT_10064,38.68221711,0.423999762,0.651246763,0.651058533,0.515008703,0.97365412,0.288185432,,
THAPSDRAFT_10068,28.35010422,0.184921304,0.679484827,0.272149277,0.785507241,0.991234827,0.104849807,,
THAPSDRAFT_10071,93.59579591,-0.222050693,0.554543632,-0.400420599,0.688846755,0.982569556,0.161877383,,
THAPSDRAFT_10073,49.31771994,-0.661194921,0.632480172,-1.045400235,0.295838028,0.949652485,0.528946001,,
THAPSDRAFT_10077,29.76592393,0.829846812,0.704808285,1.177407855,0.239032756,0.942935048,0.621542581,,
THAPSDRAFT_10078,107.2820531,0.637484036,0.579509769,1.10004019,0.271314611,0.942935048,0.566526818,,
THAPSDRAFT_10079,49.41884992,-0.119496699,0.609871756,-0.195937421,0.844659147,0.994434124,0.07331851,,
THAPSDRAFT_10080,141.0089012,-0.721200164,0.579179418,-1.245210276,0.213054466,0.926932425,0.671509357,,
THAPSDRAFT_10081,35.86743268,0.391990533,0.658475196,0.595300379,0.551642703,0.97365412,0.258342122,,
THAPSDRAFT_10082,184.8150373,-0.779048604,0.595371199,-1.308509053,0.190700706,0.911065473,0.719647699,,
THAPSDRAFT_10083,66.20642649,-0.292070142,0.584213106,-0.499937675,0.617118963,0.981258153,0.209631108,,
THAPSDRAFT_10085,651.5130371,-0.684770928,0.725629676,-0.943692011,0.345327058,0.967666717,0.461769391,,
THAPSDRAFT_10088,49.08174999,0.931340295,0.66322151,1.404267324,0.160239261,0.899400879,0.795231067,,
THAPSDRAFT_1009,12.87721737,0.760816655,0.7789168,0.976762416,0.328686787,0.961315286,0.483217754,,
THAPSDRAFT_10091,48.86263503,0.478065955,0.6284453,0.760712117,0.446829036,0.97365412,0.349858613,,
